Kelompok 7;Desain grafis diminati karena membantu penyampaian informasi masa sekarang;Apakah kalian tahu bahwa web design merupakan kategori dari design grafis;Apakah kalian mengetahui tentang tipografi;Pewarnaan berperan penting dalam pembuatan sebuah karya;Membuat desain grafis membutuhkan biaya yang besar;Waktu pembuatan dan tahapan pembuatan mempengaruhi harga suatu desain grafis;Banyak orang kurang mengerti isi pesan yang terkandung dalam karya desain grafis;Sebuah desain grafis dapat disimpan dan dilihat dalam format .pdf
;;;;;;;;
;;;;;;;;
Sangat Setuju;221;0;0;310;56;199;68;94
Setuju;254;0;0;165;186;235;281;225
Ragu-Ragu;23;0;0;18;164;49;102;155
Tidak Setuju;1;0;0;6;90;15;41;24
Sangat Tidak Setuju;0;0;0;0;3;1;7;1
Sangat Tahu;0;60;65;0;0;0;0;0
Tahu;0;258;178;0;0;0;0;0
Tidak Tahu;0;88;164;0;0;0;0;0
